software,version,repo_status,approval_status,license_purpose_comment,review_notes,last_checked
pyyaml,6.0.2,APPROVED-IN-REPO,TBD,MIT -- YAML parsing (ALREADY APPROVED in store),,2026-03-02
structlog,24.4.0,APPROVED-IN-REPO,TBD,MIT -- Structured JSON logging for audit trails,,2026-03-02
rich,13.9.4,APPROVED-IN-REPO,TBD,MIT -- Terminal formatting (display-only),,2026-03-02
tqdm,4.67.3,APPROVED-IN-REPO,TBD,MIT -- Progress bars (display-only),,2026-03-02
regex,2026.1.15,APPROVED-IN-REPO,TBD,Apache 2.0 -- Enhanced regex (text processing),,2026-03-02
colorama,0.4.6,APPROVED-IN-REPO,TBD,BSD-3 -- Console color output (Windows terminal support),,2026-03-02
olefile,0.47,APPROVED-IN-REPO,TBD,"BSD -- Legacy Office binary format reader (.doc, .msg)",,2026-03-02
ezdxf,1.4.3,APPROVED-IN-REPO,TBD,MIT -- AutoCAD DXF reader/writer (engineering drawings),,2026-03-02
python-evtx,0.8.1,APPROVED-IN-REPO,TBD,"Apache 2.0 -- Windows Event Log parser (.evtx, sys admin)",,2026-03-02
python-oxmsg,0.0.2,APPROVED-IN-REPO,TBD,MIT -- Outlook .msg email reader (by python-docx author),,2026-03-02
dpkt,1.9.8,APPROVED-IN-REPO,TBD,"BSD -- Network packet capture parser (.pcap, cybersecurity)",,2026-03-02
psd-tools,1.13.1,APPROVED-IN-REPO,TBD,MIT -- Photoshop .psd file reader,,2026-03-02
striprtf,0.0.29,APPROVED-IN-REPO,TBD,BSD-3 -- Rich Text Format parser (.rtf documents),,2026-03-02
numpy-stl,3.2.0,APPROVED-IN-REPO,TBD,BSD -- STL 3D mesh parser (engineering/manufacturing),,2026-03-02
vsdx,0.6.1,APPROVED-IN-REPO,TBD,BSD-3 -- Visio .vsdx diagram parser (engineering/logistics),,2026-03-02
pyparsing,3.3.2,APPROVED-IN-REPO,TBD,MIT -- ezdxf dep,,2026-03-02
fonttools,4.61.1,APPROVED-IN-REPO,TBD,MIT -- ezdxf dep,,2026-03-02
hexdump,3.3,APPROVED-IN-REPO,TBD,MIT -- python-evtx dep,,2026-03-02
attrs,25.4.0,APPROVED-IN-REPO,TBD,MIT -- psd-tools dep,,2026-03-02
python-utils,3.9.1,APPROVED-IN-REPO,TBD,BSD-3 -- numpy-stl dep,,2026-03-02
Jinja2,3.1.6,APPROVED-IN-REPO,TBD,BSD-3 -- vsdx dep,,2026-03-02
MarkupSafe,3.0.3,APPROVED-IN-REPO,TBD,BSD-3 -- Jinja2 dep,,2026-03-02
deprecation,2.1.0,APPROVED-IN-REPO,TBD,Apache 2.0 -- vsdx dep,,2026-03-02
